modelo,accuracy,precision,recall,f1_score,roc_auc
KNN,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56,0.7944444444444444
SVM,0.7012987012987013,0.5909090909090909,0.48148148148148145,0.5306122448979592,0.8131481481481482
